FREQUENCY [Hz],MAG [Ω],PHASE [deg]
<segment> 49.9  # 3.251 m, 49.9 ohm resistor load
3130902.167,29.5150,-3.41510
3172649.327,29.0627,-1.96986
3214953.140,28.6421,-461.336e-3
3257821.028,28.2433,1.11889
3301260.512,27.8749,2.75015
3345279.215,27.5380,4.47662
3389884.858,27.2376,6.24568
3435085.270,26.9687,8.07126
3480888.379,26.7355,9.96291
3527302.223,26.5435,11.9037
3574334.945,26.3911,13.8941
3621994.797,26.2792,15.9211
3670290.140,26.2074,17.9858
3719229.450,26.1849,20.0672
3768821.311,26.2089,22.1742
3819074.426,26.2755,24.2973
3869997.612,26.3909,26.4146
3921599.802,26.5481,28.5268
3973890.051,26.7597,30.6324
4026877.534,27.0184,32.7109
4080571.547,27.3236,34.7551
4134981.511,27.6779,36.7748
4190116.972,28.0774,38.7464
4245987.604,28.5187,40.6771
4302603.210,29.0116,42.5529
4359973.724,29.5471,44.3693
4418109.210,30.1177,46.1398
4477019.870,30.7389,47.8378
4536716.039,31.3947,49.4762
4597208.191,32.0989,51.0581
4658506.940,32.8347,52.5679
4720623.041,33.6117,54.0285
4783567.393,34.4248,55.4154
4847351.038,35.2774,56.7525
4911985.169,36.1580,58.0224
4977481.125,37.0737,59.2405
5043850.398,38.0267,60.3985
5111104.633,39.0169,61.5019
5179255.630,40.0337,62.5650
5248315.345,41.0754,63.5591
5318295.897,42.1560,64.5195
5389209.563,43.2697,65.4263
5461068.785,44.4083,66.2993
5533886.171,45.5832,67.1200
5607674.498,46.7909,67.9076
5682446.711,48.0233,68.6520
5758215.930,49.2842,69.3602
5834995.449,50.5899,70.0389
5912798.739,51.9029,70.6904
5991639.451,53.2699,71.3073
6071531.417,54.6570,71.8835
6152488.656,56.0820,72.4405
6234525.371,57.5389,72.9691
6317655.956,59.0249,73.4729
6401894.997,60.5496,73.9493
6487257.273,62.1026,74.4064
6573757.761,63.6927,74.8467
6661411.640,65.3316,75.2526
6750234.287,66.9972,75.6476
6840241.287,68.7105,76.0328
6931448.432,70.4697,76.3876
7023871.724,72.2514,76.7257
7117527.380,74.0870,77.0608
7212431.833,75.9706,77.3639
7308601.732,77.8952,77.6560
7406053.952,79.8762,77.9411
7504805.590,81.9081,78.1977
7604873.974,83.9880,78.4573
7706276.661,86.1232,78.6990
7809031.442,88.3093,78.9237
7913156.345,90.5691,79.1448
8018669.640,92.8902,79.3372
8125589.840,95.2767,79.5407
8233935.703,97.7281,79.7293
8343726.241,100.279,79.9012
8454980.715,102.866,80.0742
8567718.647,105.551,80.2275
8681959.815,108.328,80.3850
8797724.265,111.214,80.5109
8915032.307,114.186,80.6494
9033904.523,117.262,80.7650
9154361.771,120.441,80.8847
9276425.185,123.715,80.9873
9400116.180,127.149,81.0773
9525456.461,130.718,81.1666
9652468.016,134.410,81.2550
9781173.133,138.273,81.3236
9911594.391,142.296,81.3909
10043754.674,146.500,81.4509
10177677.171,150.889,81.4854
10313385.377,155.464,81.5378
10450903.104,160.296,81.5655
10590254.480,165.388,81.5812
10731463.955,170.684,81.6025
10874556.303,176.299,81.5909
11019556.631,182.190,81.5849
11166490.381,188.434,81.5687
11315383.331,195.069,81.5430
11466261.606,202.023,81.5135
11619151.679,209.483,81.4873
11774080.373,217.577,81.4715
11931074.872,226.451,81.3830
12090162.722,235.668,81.2373
12251371.834,245.559,81.1010
12414730.493,256.217,80.9771
12580267.362,267.756,80.8186
12748011.484,280.415,80.6439
12917992.291,294.191,80.4481
13090239.606,309.419,80.2115
13264783.650,326.255,79.9458
13441655.049,344.943,79.6107
13620884.835,365.839,79.2394
13802504.454,389.238,78.7882
13986545.773,415.946,78.2722
14173041.081,446.413,77.6994
14362023.101,481.656,76.9906
14553524.989,523.058,76.1534
14747580.346,572.181,75.1509
14944223.219,631.379,73.9045
15143488.110,704.107,72.3359
15345409.980,795.741,70.4088
15550024.258,914.410,67.8255
15757366.844,1.07110e+3,64.2702
15967474.117,1.28556e+3,59.1978
16180382.941,1.58761e+3,51.5090
16396130.671,2.00430e+3,39.4397
16614755.162,2.47204e+3,20.0366
16836294.771,2.65126e+3,-6.40750
17060788.369,2.30931e+3,-31.2812
17288275.344,1.81783e+3,-48.3674
17518795.609,1.42908e+3,-58.8534
17752389.611,1.15157e+3,-65.6537
17989098.333,954.188,-70.1794
18228963.307,808.727,-73.3929
18472026.618,698.204,-75.8003
18718330.914,611.884,-77.6435
18967919.408,543.022,-79.0928
19220835.891,486.230,-80.2557
19477124.740,439.171,-81.1878
19736830.921,399.089,-81.9849
20000000.000,364.726,-82.6461
<segment> 1/(j*w*0.5e-12)  # 3.251 m, 0.5 pF load
100000.000,19.5816e+3,-91.9725
101333.391,18.3959e+3,-92.1385
102684.561,17.9121e+3,-91.4148
104053.747,17.4657e+3,-91.3834
105441.190,17.0820e+3,-91.3843
106847.133,16.7287e+3,-91.4794
108271.823,16.3385e+3,-90.7704
109715.510,16.0511e+3,-90.7257
111178.446,15.6571e+3,-90.7174
112660.889,15.3167e+3,-90.4637
114163.099,14.8968e+3,-90.6004
115685.339,14.6312e+3,-90.6976
117227.877,14.2377e+3,-90.5775
118790.983,13.9546e+3,-90.6499
120374.931,13.8688e+3,-90.7597
121979.999,13.4099e+3,-91.0061
123606.469,13.2467e+3,-90.7140
125254.626,12.9366e+3,-90.6635
126924.760,12.7229e+3,-90.8635
128617.163,12.5278e+3,-90.6699
130332.132,12.2389e+3,-90.7785
132069.969,11.9990e+3,-90.4100
133830.977,11.7123e+3,-90.8748
135615.467,11.6862e+3,-90.5403
137423.751,11.3844e+3,-90.5027
139256.147,11.1742e+3,-90.9958
141112.976,10.9547e+3,-90.6976
142994.563,10.7934e+3,-90.5974
144901.239,10.4856e+3,-90.8171
146833.339,10.3393e+3,-90.7029
148791.201,10.1441e+3,-90.5270
150775.169,9.98769e+3,-90.7961
152785.591,9.96988e+3,-90.8243
154822.820,9.65864e+3,-91.0983
156887.214,9.47994e+3,-91.1673
158979.133,9.30837e+3,-91.1661
161098.946,9.23570e+3,-90.9874
163247.025,9.07044e+3,-91.1309
165423.745,9.02436e+3,-90.3743
167629.490,8.82621e+3,-90.9884
169864.646,8.60314e+3,-91.0035
172129.606,8.49283e+3,-91.0203
174424.766,8.37593e+3,-90.8780
176750.530,8.25072e+3,-90.7859
179107.305,8.11667e+3,-90.9287
181495.505,7.93534e+3,-90.9178
183915.550,7.84879e+3,-90.7548
186367.863,7.71126e+3,-90.8097
188852.874,7.58664e+3,-91.0233
191371.021,7.45818e+3,-90.8288
193922.745,7.34521e+3,-90.9438
196508.493,7.22419e+3,-90.8188
