FREQUENCY [Hz],MAG [O],PHASE [deg]
<segment> 1/(j*w*.2e-12)     # .2 pF load (open)
29539.067,0.636019,86.7522
30105.743,0.648975,86.7658
30683.29,0.660903,86.7651
31271.917,0.674039,86.8024
31871.835,0.686673,86.8217
32483.263,0.698874,86.8505
33106.42,0.712167,86.8794
33741.532,0.726126,86.8758
34388.828,0.73975,86.9197
35048.541,0.753707,86.9159
35720.911,0.767822,86.9371
36406.179,0.783265,86.9896
37104.593,0.79714,87.0025
37816.406,0.8122,86.9799
38541.874,0.827708,87.029
39281.259,0.844046,86.9816
40034.829,0.859151,87.0148
40802.855,0.875255,87.0387
41585.615,0.892302,87.0974
42383.391,0.908672,87.0932
43196.472,0.925493,87.1107
44025.15,0.942966,87.0983
44869.727,0.960637,87.1349
45730.505,0.978495,87.148
46607.797,0.997703,87.2013
47501.918,1.01659,87.144
48413.193,1.03512,87.182
49341.949,1.05543,87.1559
50288.522,1.07471,87.1362
51253.255,1.09454,87.1623
52236.494,1.11469,87.1452
53238.597,1.13602,87.1837
54259.923,1.15764,87.2195
55300.843,1.17927,87.2066
56361.731,1.2007,87.2438
57442.972,1.22391,87.2377
58544.955,1.24645,87.2404
59668.078,1.27022,87.2324
60812.747,1.29459,87.1812
61979.376,1.31855,87.2256
63168.385,1.34297,87.1881
64380.204,1.36745,87.2267
65615.271,1.39338,87.2444
66874.03,1.41951,87.2693
68156.938,1.44582,87.2624
69464.458,1.47276,87.2468
70797.06,1.50082,87.2603
72155.227,1.52883,87.2652
73539.449,1.55677,87.2988
74950.226,1.58585,87.279
76388.068,1.6145,87.2483
77853.492,1.64531,87.2374
79347.03,1.67632,87.2221
80869.219,1.70703,87.2167
82420.61,1.73896,87.2496
84001.763,1.77114,87.2388
85613.248,1.80485,87.2852
87255.648,1.83864,87.2873
88929.556,1.87198,87.2879
90635.576,1.90747,87.2849
92374.324,1.94265,87.2996
94146.428,1.97823,87.2985
95952.529,2.01546,87.3025
97793.277,2.05304,87.3066
99669.338,2.09088,87.3251
101581.389,2.12859,87.2879
103530.121,2.16878,87.2929
105516.238,2.20824,87.2988
107540.456,2.25042,87.2949
109603.507,2.29192,87.3049
111706.134,2.33491,87.3348
113849.099,2.37881,87.3386
116033.174,2.42278,87.3764
118259.149,2.4677,87.3625
120527.826,2.51312,87.391
122840.026,2.5604,87.392
125196.582,2.60737,87.4009
127598.347,2.65592,87.4088
130046.187,2.70534,87.4233
132540.986,2.75542,87.4204
135083.646,2.80688,87.4389
137675.083,2.85844,87.4381
140316.235,2.9122,87.433
143008.054,2.96612,87.4643
145751.514,3.01987,87.4508
148547.603,3.07609,87.4468
151397.333,3.13281,87.4425
154301.731,3.19134,87.4565
157261.848,3.25137,87.4576
160278.751,3.3114,87.4888
163353.53,3.37258,87.4888
166487.295,3.43618,87.5436
169681.179,3.50049,87.5634
172936.334,3.56539,87.577
176253.936,3.63151,87.5775
179635.182,3.69944,87.6088
183081.294,3.76893,87.627
186593.516,3.83954,87.6315
190173.116,3.91017,87.653
193821.388,3.98296,87.656
197539.647,4.05713,87.6709
201329.237,4.13229,87.6563
205191.527,4.20925,87.6676
209127.911,4.28808,87.6808
213139.809,4.36869,87.6994
217228.673,4.44942,87.7117
221395.976,4.53276,87.7539
225643.225,4.6178,87.7775
229971.953,4.70448,87.789
234383.723,4.79245,87.788
238880.128,4.88208,87.8179
243462.792,4.97385,87.8345
248133.37,5.06718,87.8483
252893.547,5.162,87.8661
257745.044,5.25917,87.8892
262689.611,5.35758,87.8906
267729.035,5.4572,87.9066
272865.135,5.56003,87.9241
278099.766,5.66423,87.935
283434.817,5.77041,87.9557
288872.216,5.87856,87.9642
294413.926,5.98941,87.979
300061.947,6.0995,87.9631
305818.32,6.21466,87.9784
311685.123,6.33038,87.9943
317664.474,6.44966,88.0056
323758.533,6.57122,88.0131
329969.499,6.69506,88.0352
336299.617,6.82195,88.0777
342751.172,6.94998,88.0884
349326.492,7.08098,88.1081
356027.954,7.21461,88.1194
362857.975,7.34968,88.1285
369819.024,7.48865,88.1424
376913.613,7.62878,88.1526
384144.304,7.77266,88.1684
391513.708,7.91977,88.1815
399024.487,8.0685,88.193
406679.352,8.21981,88.1998
414481.068,8.37505,88.2151
422432.451,8.53165,88.2282
430536.373,8.69102,88.2421
438795.76,8.85393,88.2655
447213.595,9.02405,88.2745
455792.918,9.19476,88.2783
464536.826,9.36589,88.2825
473448.476,9.54403,88.2976
482531.087,9.72543,88.3157
491787.938,9.90755,88.321
501222.372,10.0947,88.3377
510837.796,10.285,88.3513
